tweet_id,type,creation_date,date
1609406629795008514,tweet,2023-01-01 04:30:16+00:00,2023-01-01
1609407126451138560,tweet,2023-01-01 04:32:14+00:00,2023-01-01
1609408190168416256,retweeted,2023-01-01 04:36:28+00:00,2023-01-01
1609408285387657216,tweet,2023-01-01 04:36:51+00:00,2023-01-01
1609408341234556930,tweet,2023-01-01 04:37:04+00:00,2023-01-01
1609408483191062530,retweeted,2023-01-01 04:37:38+00:00,2023-01-01
1609409284948779009,retweeted,2023-01-01 04:40:49+00:00,2023-01-01
1609410213651828738,replied_to,2023-01-01 04:44:30+00:00,2023-01-01
1609411252194869249,retweeted,2023-01-01 04:48:38+00:00,2023-01-01
1609411577098428418,retweeted,2023-01-01 04:49:56+00:00,2023-01-01
1609411740261027841,tweet,2023-01-01 04:50:34+00:00,2023-01-01
1609412077436665860,retweeted,2023-01-01 04:51:55+00:00,2023-01-01
1609412875138867203,retweeted,2023-01-01 04:55:05+00:00,2023-01-01
1609412897196896257,tweet,2023-01-01 04:55:10+00:00,2023-01-01
1609413097458106374,retweeted,2023-01-01 04:55:58+00:00,2023-01-01
1609414047216328707,tweet,2023-01-01 04:59:44+00:00,2023-01-01
1609414712139345921,retweeted,2023-01-01 05:02:23+00:00,2023-01-01
1609414727742152704,tweet,2023-01-01 05:02:27+00:00,2023-01-01
1609415099860815872,tweet,2023-01-01 05:03:55+00:00,2023-01-01
1609415395471159296,tweet,2023-01-01 05:05:06+00:00,2023-01-01
1609416167520874496,tweet,2023-01-01 05:08:10+00:00,2023-01-01
1609416640541741057,tweet,2023-01-01 05:10:03+00:00,2023-01-01
1609416721852665856,tweet,2023-01-01 05:10:22+00:00,2023-01-01
1609417951353921536,retweeted,2023-01-01 05:15:15+00:00,2023-01-01
1609417972757696512,tweet,2023-01-01 05:15:20+00:00,2023-01-01
1609418175149662209,tweet,2023-01-01 05:16:09+00:00,2023-01-01
1609418314899390464,tweet,2023-01-01 05:16:42+00:00,2023-01-01
1609418564162957313,tweet,2023-01-01 05:17:41+00:00,2023-01-01
1609418729850343424,retweeted,2023-01-01 05:18:21+00:00,2023-01-01
1609418744614326272,tweet,2023-01-01 05:18:24+00:00,2023-01-01
1609418778928107521,tweet,2023-01-01 05:18:33+00:00,2023-01-01
